date,dayOfYear,month,day,weekday,sunrise,sunset,description,startDt,startTm,endDt,endTm,type,show,url,notes,format,title,start,end
2023-02-05,36,Feb,5,Sun,7:01:00,17:18:00,Long Walk,2023-02-05,7:01:00,,,Walk,t,#find-us,,Walkt,[TBD: Long Walk?],2023-02-05T07:01:00,
2023-02-06,37,Feb,6,Mon,7:00:00,17:20:00,Short Walk,2023-02-06,7:00:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-02-06T07:00:00,
2023-02-08,39,Feb,8,Wed,6:57:00,17:22:00,Short Walk,2023-02-08,6:57:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-02-08T06:57:00,
2023-02-10,41,Feb,10,Fri,6:55:00,17:24:00,Short Walk,2023-02-10,6:55:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-02-10T06:55:00,
2023-02-12,43,Feb,12,Sun,6:53:00,17:27:00,Day Hike,2023-02-12,,,,Hike,t,#find-us,,Hiket,[TBD: Day Hike?],2023-02-12,
2023-02-12,43,Feb,12,Sun,6:53:00,17:27:00,Long Walk,2023-02-12,6:53:00,,,Walk,t,#find-us,,Walkt,[TBD: Long Walk?],2023-02-12T06:53:00,
2023-02-13,44,Feb,13,Mon,6:51:00,17:28:00,Short Walk,2023-02-13,6:51:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-02-13T06:51:00,
2023-02-15,46,Feb,15,Wed,6:49:00,17:30:00,Short Walk,2023-02-15,6:49:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-02-15T06:49:00,
2023-02-17,48,Feb,17,Fri,6:46:00,17:33:00,Short Walk,2023-02-17,6:46:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-02-17T06:46:00,
2023-02-19,50,Feb,19,Sun,6:43:00,17:35:00,Day Hike,2023-02-19,,,,Hike,t,#find-us,,Hiket,[TBD: Day Hike?],2023-02-19,
2023-02-19,50,Feb,19,Sun,6:43:00,17:35:00,Long Walk,2023-02-19,6:43:00,,,Walk,t,#find-us,,Walkt,[TBD: Long Walk?],2023-02-19T06:43:00,
2023-02-20,51,Feb,20,Mon,6:42:00,17:36:00,Short Walk,2023-02-20,6:42:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-02-20T06:42:00,
2023-02-22,53,Feb,22,Wed,6:39:00,17:39:00,Short Walk,2023-02-22,6:39:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-02-22T06:39:00,
2023-02-24,55,Feb,24,Fri,6:36:00,17:41:00,Short Walk,2023-02-24,6:36:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-02-24T06:36:00,
2023-02-26,57,Feb,26,Sun,6:33:00,17:43:00,Day Hike,2023-02-26,,,,Hike,t,#find-us,,Hiket,[TBD: Day Hike?],2023-02-26,
2023-02-26,57,Feb,26,Sun,6:33:00,17:43:00,Long Walk,2023-02-26,6:33:00,,,Walk,t,#find-us,,Walkt,[TBD: Long Walk?],2023-02-26T06:33:00,
2023-02-27,58,Feb,27,Mon,6:32:00,17:45:00,Short Walk,2023-02-27,6:32:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-02-27T06:32:00,
2023-03-01,60,Mar,1,Wed,6:29:00,17:47:00,Short Walk,2023-03-01,6:29:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-03-01T06:29:00,
2023-03-03,62,Mar,3,Fri,6:26:00,17:49:00,Short Walk,2023-03-03,6:26:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-03-03T06:26:00,
2023-03-05,64,Mar,5,Sun,6:22:00,17:51:00,Day Hike,2023-03-05,,,,Hike,t,#find-us,,Hiket,[TBD: Day Hike?],2023-03-05,
2023-03-05,64,Mar,5,Sun,6:22:00,17:51:00,Long Walk,2023-03-05,6:22:00,,,Walk,t,#find-us,,Walkt,[TBD: Long Walk?],2023-03-05T06:22:00,
2023-03-06,65,Mar,6,Mon,6:21:00,17:53:00,Short Walk,2023-03-06,6:21:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-03-06T06:21:00,
2023-03-08,67,Mar,8,Wed,6:18:00,17:55:00,Short Walk,2023-03-08,6:18:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-03-08T06:18:00,
2023-03-10,69,Mar,10,Fri,7:14:00,18:57:00,Short Walk,2023-03-10,7:14:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-03-10T07:14:00,
2023-03-12,71,Mar,12,Sun,7:11:00,18:59:00,Day Hike,2023-03-12,,,,Hike,t,#find-us,,Hiket,[TBD: Day Hike?],2023-03-12,
2023-03-12,71,Mar,12,Sun,7:11:00,18:59:00,Long Walk,2023-03-12,7:11:00,,,Walk,t,#find-us,,Walkt,[TBD: Long Walk?],2023-03-12T07:11:00,
2023-03-13,72,Mar,13,Mon,7:10:00,19:00:00,Short Walk,2023-03-13,7:10:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-03-13T07:10:00,
2023-03-15,74,Mar,15,Wed,7:06:00,19:02:00,No Morning Walk,2023-03-15,,,,Special,t,,Dr R,Specialt,[TBD: No Morning Walk?],2023-03-15,
2023-03-15,74,Mar,15,Wed,7:06:00,19:02:00,Short Walk,2023-03-15,7:06:00,,,Walk,t,#find-us,,Walkt,[TBD: Short Walk?],2023-03-15T07:06:00,
2023-03-17,76,Mar,17,Fri,7:03:00,19:04:00,Short Walk,2023-03-17,7:03:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-03-17T07:03:00,
2023-03-19,78,Mar,19,Sun,7:00:00,19:07:00,Day Hike,2023-03-19,,,,Hike,t,#find-us,,Hiket,[TBD: Day Hike?],2023-03-19,
2023-03-19,78,Mar,19,Sun,7:00:00,19:07:00,Long Walk,2023-03-19,7:00:00,,,Walk,t,#find-us,,Walkt,[TBD: Long Walk?],2023-03-19T07:00:00,
2023-03-20,79,Mar,20,Mon,6:58:00,19:08:00,Short Walk,2023-03-20,6:58:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-03-20T06:58:00,
2023-03-22,81,Mar,22,Wed,6:55:00,19:10:00,Short Walk,2023-03-22,6:55:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-03-22T06:55:00,
2023-03-24,83,Mar,24,Fri,6:51:00,19:12:00,Short Walk,2023-03-24,6:51:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-03-24T06:51:00,
2023-03-26,85,Mar,26,Sun,6:48:00,19:14:00,Day Hike,2023-03-26,,,,Hike,t,#find-us,,Hiket,[TBD: Day Hike?],2023-03-26,
2023-03-26,85,Mar,26,Sun,6:48:00,19:14:00,Long Walk,2023-03-26,6:48:00,,,Walk,t,#find-us,,Walkt,[TBD: Long Walk?],2023-03-26T06:48:00,
2023-03-27,86,Mar,27,Mon,6:46:00,19:15:00,Short Walk,2023-03-27,6:46:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-03-27T06:46:00,
